date,nav,cash,n_positions,topix_nav
2024-02-28,114326358.45829837,9671056.477707544,9,24747631.79327302
2024-02-29,115220861.64427859,2086.1987219508737,10,25007903.114219543
2024-03-03,114599573.22930056,459367.91008669883,10,25007903.114219543
2024-03-04,115099577.22145145,10192492.660294222,9,25131419.572076704
2024-03-05,115981886.62468326,18153.403247717768,10,25219647.86291986
2024-03-06,116366705.47844303,18153.403247717768,10,25100540.457612418
2024-03-07,118042401.39694889,23310.997778968886,10,25153478.33192495
2024-03-10,116345809.88366765,1565069.3563238904,10,24628526.63748219
2024-03-11,116703198.13577946,10484475.790808756,9,24522655.387890335
2024-03-12,115759589.2823798,19784.87564152293,10,24456483.60737882
2024-03-13,117812197.80675724,278604.77392033115,10,24602058.825084224
2024-03-14,118564664.63109806,278604.77392033115,10,24668230.60559574
2024-03-17,119494139.3320258,278604.77392033115,10,25140242.17620936
2024-03-18,121251523.78139104,12776268.037982833,9,25409333.85177193
2024-03-20,121965315.32954778,12091220.606037032,9,25828412.04710623
2024-03-21,123087170.67307805,286849.8051581271,10,25996043.775143266
2024-03-24,122134270.66087101,286849.8051581271,10,25651957.714936532
2024-03-25,122257868.71050785,23680236.27032231,8,25709304.641798787
2024-03-26,123060858.1262183,36289795.05859135,7,25841645.953305207
2024-03-27,121858091.7206641,49266739.59664066,6,25660780.319069184
2024-03-28,122300247.86222905,792713.8412329517,10,25793121.630575612
2024-03-31,122823805.95147465,787948.9080176204,10,25343164.32077702
2024-04-01,122973694.79229496,260044.3406348098,10,25268172.185649455
2024-04-02,123305828.90127935,36470.142734419554,10,25210825.258787204
2024-04-03,123447139.28633794,33197.57491215691,10,25466680.778634183
2024-04-04,122993173.14706792,11840889.950046435,9,25179943.894806307
2024-04-07,123934969.23212652,8531.616159718484,10,25418156.45590458
2024-04-08,124500544.36030035,8531.616159718484,10,25651957.714936532
2024-04-09,125813056.0973609,8531.616159718484,10,25554909.06947733
2024-04-10,127080488.61689214,8531.616159718484,10,25599022.090140603
2024-04-11,127731275.64289922,59213.09407109581,10,25726949.850064095
2024-04-14,130512079.98291387,5499816.70166387,10,25625489.902538568
2024-04-15,127949727.89609747,17788625.845316216,9,25109363.06174507
2024-04-16,127074658.88484257,55257738.35261602,6,24804978.72013528
2024-04-17,127778794.55022344,68550477.64348516,5,24950553.93784068
2024-04-18,126828693.57192753,74540702.6600623,4,24478540.117710456
2024-04-21,128410724.69496831,172855.63368901424,10,24827037.47998352
2024-04-22,128079362.85219488,2535813.718894094,10,24738809.18914037
2024-04-23,128593538.5663062,2535813.718894094,10,25228470.467052512
2024-04-24,127314410.5938941,2535813.718894094,10,24835860.084116176
2024-04-25,128960253.48873052,15243388.284873098,9,24994669.208020564
2024-04-29,130358241.50717534,2226489.99350347,10,25524027.705496434
2024-04-30,129906933.53598393,2226489.99350347,10,25422567.75797091
2024-05-01,129420945.99936284,2226489.99350347,10,25444626.517819155
2024-05-06,129217872.55726689,50949518.44349737,6,25594610.788074277
2024-05-07,128754575.46631841,63548580.904550835,5,25250526.977384146
2024-05-08,128438101.23705816,50499769.82226324,6,25285817.393914763
2024-05-09,127624167.16849127,47165.508335022256,10,25418156.45590458
2024-05-12,127959002.61194831,14239.257456116378,10,25396102.195089553
2024-05-13,129347484.31500617,46336.9273108542,10,25431390.362103567
2024-05-14,128765492.6741004,23128337.083280094,8,25475503.38276684
2024-05-15,127993463.7761756,111486.5544959195,10,25510796.04881406
2024-05-16,128186029.83735725,12761723.654495921,9,25607844.69427326
2024-05-19,128969171.11310188,947232.3496741448,10,25832821.09965595
2024-05-20,129337911.62488167,1361863.1141394768,10,25735772.45419675
2024-05-21,129135412.21692269,1361863.1141394768,10,25524027.705496434
2024-05-22,128363620.97392952,14555631.136283033,9,25700482.03766613
2024-05-23,128486864.14242317,63353739.954190746,5,25554909.06947733
2024-05-26,129249056.32634652,117516.45207893848,10,25806355.53677459
2024-05-27,127664730.54739144,977006.8718543295,10,25819589.442973573
2024-05-28,126417307.57297738,634941.7953894865,10,25568142.975676317
2024-05-29,126863040.80251229,50609884.31447518,6,25413747.40335486
2024-05-30,128335809.42760995,63511.58215096779,10,26026920.64009095
2024-06-02,129280700.0342994,63511.58215096779,10,26101915.02473512
2024-06-03,129038993.08849862,63511.58215096779,10,26004866.37927592
2024-06-04,128106834.81628183,25807537.440793548,8,25625489.902538568
2024-06-05,127630899.72043222,62864572.36447519,5,25709304.641798787
2024-06-06,127989137.00375742,75883995.35336679,4,25696072.98511641
2024-06-09,128585306.39963144,12300308.07199473,9,25960751.109096047
2024-06-10,128802814.53415293,90519.90524668247,10,25907817.733816724
2024-06-11,127640648.53073496,90519.90524668247,10,25687250.38098376
2024-06-12,127028755.00512461,49512662.28051524,6,25453449.121951807
2024-06-13,127508434.2248756,24286468.929465443,8,25612255.99633959
2024-06-16,125491987.68552014,23301950.33200451,8,25171123.540190257
2024-06-17,125568245.69023205,10803853.71025158,9,25329930.414578035
2024-06-18,125598559.31374279,12230382.104270136,9,25466680.778634183
2024-06-19,125431423.40059583,178442.28487317264,10,25431390.362103567
2024-06-20,125264843.01729505,178442.28487317264,10,25404924.799222205
2024-06-23,125616417.39473645,178442.28487317264,10,25554909.06947733
2024-06-24,126936851.41573255,178442.28487317264,10,26004866.37927592
2024-06-25,127188356.55337903,7201.8170509096235,10,26115148.930934105
2024-06-26,127829338.21841809,7201.8170509096235,10,26031334.191673886
2024-06-27,127668661.32632825,7201.8170509096235,10,26190143.315578274
2024-06-30,128128028.36551282,85401.8152198568,10,26340127.5858334
2024-07-01,128697661.2878761,85401.8152198568,10,26635689.32331054
2024-07-02,129227201.66604994,355731.85403822176,10,26882722.239024863
2024-07-03,129943569.42728041,355731.85403822176,10,27076821.779459864
2024-07-04,129574335.65271986,814105.1717628315,10,26865077.030759554
2024-07-07,128527899.38121107,51576150.73619154,6,26776850.98943301
2024-07-08,129410231.59955825,12873916.93891372,9,26512168.366420157
2024-07-09,129156270.28084487,12353935.7593605,9,27203964.45808751
2024-07-10,130197677.00718154,26814.086038967595,10,27383885.295348596
2024-07-11,130365208.36499405,50434.09131240472,10,27051033.321077216
2024-07-15,129592082.66201553,451060.48794326745,10,27096012.405634183
2024-07-16,132003683.74844131,451060.48794326745,10,27212960.274998907
